Rank,Male Name,Number of Males,Female Name,Number of Females
139,Grant,"25,455",Desiree,"23,492"
140,Martin,"25,324",Tara,"23,370"
141,Henry,"25,244",Michaela,"23,171"
142,Mario,"24,570",Brandi,"22,957"
143,Xavier,"24,288",Carly,"22,790"
144,Manuel,"24,173",Kylie,"22,729"
145,Alan,"24,093",Karina,"22,610"
146,Derrick,"23,982",Adriana,"22,339"
147,Frank,"23,965",Valerie,"22,010"
148,Tristan,"23,914",Caitlyn,"21,990"
149,Collin,"23,754",Natasha,"21,975"
150,Omar,"23,730",Hayley,"21,858"
151,Jeremiah,"23,646",Rebekah,"20,926"
152,Jackson,"23,590",Jocelyn,"20,880"
153,Troy,"22,817",Cassidy,"20,659"
154,Edgar,"22,209",Jade,"20,395"
155,Javier,"22,112",Gabriella,"20,167"
156,Douglas,"21,970",Makayla,"20,083"
157,Clayton,"21,813",Daisy,"19,990"
158,Jonathon,"21,429",Alison,"19,728"
159,Nicolas,"21,218",Jillian,"19,725"
160,Andre,"21,089",Faith,"19,529"
161,Maxwell,"20,908",Audrey,"19,528"
162,Ivan,"20,511",Angel,"19,501"
163,Philip,"20,458",Nancy,"19,495"
164,Levi,"20,406",Dana,"19,282"
165,Sergio,"20,129",Krystal,"19,078"
166,Roberto,"20,062",Alejandra,"19,010"
167,Darius,"19,664",Ariana,"18,862"
168,Andres,"19,637",Summer,"18,806"
169,Cristian,"19,526",Isabella,"18,760"
170,Hector,"19,487",Mikayla,"18,746"
171,Fernando,"19,433",Raven,"18,502"
172,Drew,"19,331",Katrina,"18,400"
173,Curtis,"19,205",Kiara,"17,821"
174,Gary,"19,195",Sandra,"17,620"
175,Riley,"18,838",Meagan,"17,106"
176,Johnny,"18,483",Lydia,"16,989"
177,Max,"18,215",Kirsten,"16,882"
178,Dennis,"18,100",Chelsey,"16,837"
179,Malik,"17,951",Zoe,"16,791"
180,Wyatt,"17,936",Monique,"16,761"
181,Cesar,"17,842",Claudia,"16,518"
182,Edwin,"17,475",Mallory,"16,471"
183,Gavin,"17,278",Joanna,"16,285"
184,Preston,"17,089",Deanna,"16,219"
185,Marco,"17,001",Isabel,"16,104"
186,Allen,"16,952",Ashlee,"15,978"
187,Ruben,"16,929",Felicia,"15,643"
188,Calvin,"16,863",Marisa,"15,536"
189,Mathew,"16,799",Mercedes,"15,291"
190,Randy,"16,783",Mckenzie,"15,285"
191,Brent,"16,624",Jasmin,"15,237"
192,Jerry,"16,577",Krista,"15,213"
193,Hayden,"16,350",Yesenia,"15,174"
194,Alexis,"16,261",Diamond,"15,160"
195,Parker,"16,235",Evelyn,"15,126"
196,Brady,"16,231",Selena,"15,042"
197,Tony,"16,138",Cindy,"15,039"
198,Pedro,"16,132",Brandy,"14,908"
199,Craig,"16,105",Gina,"14,882"
200,Larry,"15,944",Mia,"14,629"
,,,,
