Year,Name,Count
1998,Michael,42
1998,Sarah,18
1998,Zachary,5
1999,Alexander,1
1999,Andrew,5
1999,Anna,2
1999,Benjamin,1
1999,Daniel,3
1999,David,1
1999,Elizabeth,1
1999,Hannah,39
1999,Isaiah,1
1999,Jacob,42
1999,James,4
1999,John,4
1999,Joseph,2
1999,Joshua,24
1999,Julia,2
1999,Matthew,26
1999,Michael,39
1999,Sarah,21
1999,Zachary,5
2000,Abigail,5
2000,Alexander,1
2000,Andrew,7
2000,Anna,2
2000,Daniel,5
2000,Elizabeth,3
2000,Ethan,5
2000,Hannah,43
2000,Isaiah,1
2000,Jacob,45
2000,James,5
2000,John,2
2000,Joseph,3
2000,Joshua,27
2000,Julia,1
2000,Matthew,22
2000,Michael,41
2000,Samuel,1
2000,Sarah,20
2000,Zachary,6
2001,Abigail,8
2001,Andrew,9
2001,Anna,3
2001,Benjamin,1
2001,Caleb,1
2001,Daniel,3
2001,Elizabeth,2
2001,Ethan,17
2001,Hannah,42
2001,Isaiah,1
2001,Jacob,46
2001,James,5
2001,John,3
2001,Joseph,6
2001,Joshua,24
2001,Julia,2
2001,Matthew,20
2001,Michael,33
2001,Samuel,3
2001,Sarah,15
2001,Zachary,3
2002,Abigail,20
2002,Alexander,2
2002,Andrew,6
2002,Anna,2
2002,Benjamin,1
2002,Caleb,2
2002,Daniel,5
2002,David,1
2002,Elizabeth,5
2002,Ethan,30
2002,Hannah,35
2002,Isaiah,2
2002,Jacob,46
2002,James,7
2002,John,4
2002,Joseph,3
2002,Joshua,33
2002,Julia,1
2002,Matthew,14
2002,Michael,28
2002,Samuel,4
2002,Sarah,11
2002,Zachary,3
2003,Abigail,16
2003,Alexander,4
2003,Andrew,13
2003,Anna,2
2003,Benjamin,1
2003,Caleb,1
2003,Daniel,6
2003,David,1
2003,Elizabeth,1
2003,Ethan,27
2003,Gabriel,1
2003,Hannah,34
2003,Jacob,44
2003,James,6
2003,John,4
2003,Joseph,7
2003,Joshua,31
2003,Julia,1
2003,Matthew,12
2003,Michael,24
2003,Samuel,4
2003,Sarah,1
2004,Abigail,17
2004,Alexander,8
2004,Andrew,13
2004,Anna,2
2004,Benjamin,2
2004,Caleb,1
2004,Chloe,1
2004,Daniel,11
2004,David,1
2004,Elijah,1
2004,Elizabeth,3
2004,Ethan,31
2004,Hannah,24
2004,Isaiah,1
2004,Jacob,44
2004,James,6
2004,John,3
2004,Joseph,5
2004,Joshua,25
2004,Matthew,12
2004,Michael,26
2004,Samuel,7
2004,Sarah,2
2005,Abigail,20
2005,Alexander,8
2005,Andrew,12
2005,Anna,2
2005,Benjamin,2
2005,Daniel,7
2005,David,1
2005,Elijah,2
2005,Elizabeth,1
2005,Ethan,27
2005,Gabriel,1
2005,Hannah,19
2005,Isaiah,1
2005,Jacob,43
2005,James,7
2005,John,5
2005,Joseph,7
2005,Joshua,24
2005,Matthew,12
2005,Michael,25
2005,Samuel,5
2005,Sarah,1
2006,Abigail,16
2006,Alexander,9
